--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-12-10T23:58:06, Misc. noise event 0,40,10
2005-12-11T00:00:00, Critical path event 1,59,6
2005-12-11T00:06:23, Critical path event 2,2,1
2005-12-11T00:12:40, Critical path event 3,72,8
2005-12-11T00:17:36, Misc. noise event 1,32,5
2005-12-11T00:18:55, Critical path event 4,91,10
2005-12-11T00:30:52, Critical path event 5,62,10
2005-12-11T00:32:51, Misc. noise event 2,54,5
2005-12-11T00:37:44, Critical path event 6,42,0
2005-12-11T00:39:50, Misc. noise event 3,65,0
2005-12-11T00:44:26, Critical path event 7,11,10
2005-12-11T00:46:03, Misc. noise event 4,86,6
2005-12-11T00:47:32, Critical path event 8,95,2
2005-12-11T00:53:57, Critical path event 9,17,10
2005-12-11T01:00:06, Critical path event 9,97,5
2005-12-11T01:08:50, Critical path event 9,27,10
2005-12-11T01:15:21, Critical path event 9,69,10
2005-12-11T01:21:54, Critical path event 13,24,6
2005-12-11T01:28:25, Critical path event 14,21,6
2005-12-11T01:34:48, Critical path event 15,35,10
2005-12-11T01:38:03, Misc. noise event 5,67,10
2005-12-11T01:41:05, Critical path event 16,33,1
2005-12-11T01:47:20, Critical path event 17,93,0
2005-12-11T01:59:17, Critical path event 18,60,4
2005-12-11T02:06:09, Critical path event 19,71,6
2005-12-11T02:12:51, Critical path event 19,88,7
2005-12-11T02:15:57, Critical path event 19,91,9
2005-12-11T02:21:59, Misc. noise event 6,53,0
2005-12-11T02:22:22, Critical path event 19,26,10
2005-12-11T02:28:31, Critical path event 23,71,6
2005-12-11T02:37:15, Critical path event 24,15,6
2005-12-11T02:43:46, Critical path event 25,15,6
2005-12-11T02:46:36, Misc. noise event 7,56,8
2005-12-11T02:50:19, Critical path event 26,13,4
2005-12-11T02:56:50, Critical path event 27,13,9
2005-12-11T03:00:07, Misc. noise event 8,3,7
2005-12-11T03:03:13, Critical path event 28,57,5
2005-12-11T03:09:30, Critical path event 29,17,3
2005-12-11T03:15:45, Critical path event 29,17,6
2005-12-11T03:27:42, Critical path event 29,49,0
2005-12-11T03:34:34, Critical path event 29,43,6
2005-12-11T03:41:01, Misc. noise event 9,80,3
2005-12-11T03:41:16, Critical path event 33,27,3
2005-12-11T03:40:06, Misc. noise event 10,1,0
2005-12-11T03:44:22, Critical path event 34,42,0
2005-12-11T03:50:47, Critical path event 35,46,3
2005-12-11T03:56:56, Critical path event 36,13,2
2005-12-11T04:05:40, Critical path event 37,70,5
2005-12-11T04:12:11, Critical path event 38,87,5
2005-12-11T04:18:44, Critical path event 39,21,1
2005-12-11T04:25:15, Critical path event 19,13,5
2005-12-11T04:31:38, Critical path event 19,25,2
2005-12-11T04:37:55, Critical path event 19,64,7
2005-12-11T04:44:10, Critical path event 19,30,3
2005-12-11T04:56:07, Critical path event 44,99,4
