--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2006-11-09T00:00:00, Critical path event 1,33,2
2006-11-09T00:14:35, Critical path event 2,84,1
2006-11-09T00:31:53, Critical path event 3,10,6
2006-11-09T00:41:11, Critical path event 4,6,5
2006-11-09T00:55:34, Critical path event 5,70,6
2006-11-09T01:03:09, Critical path event 6,23,1
2006-11-09T01:24:26, Critical path event 7,96,8
2006-11-09T01:30:00, Critical path event 8,100,7
2006-11-09T01:39:33, Critical path event 9,71,10
2006-11-09T01:48:16, Critical path event 9,36,8
2006-11-09T01:58:04, Critical path event 9,86,1
2006-11-09T02:00:48, Misc. noise event 0,23,2
2006-11-09T02:04:16, Critical path event 9,10,7
2006-11-09T02:10:41, Critical path event 13,44,0
2006-11-09T02:18:02, Critical path event 14,47,1
2006-11-09T02:26:04, Critical path event 15,77,1
2006-11-09T02:46:57, Critical path event 16,51,10
2006-11-09T02:56:15, Critical path event 17,9,8
2006-11-09T03:36:59, Critical path event 18,100,6
2006-11-09T03:48:23, Critical path event 19,1,0
2006-11-09T03:54:45, Misc. noise event 1,88,9
2006-11-09T03:57:05, Critical path event 19,32,1
2006-11-09T04:02:39, Critical path event 19,13,6
2006-11-09T04:12:12, Critical path event 19,50,9
2006-11-09T04:20:06, Misc. noise event 2,64,10
2006-11-09T04:20:55, Critical path event 23,32,7
2006-11-09T04:30:43, Critical path event 24,85,5
2006-11-09T04:36:55, Critical path event 25,40,10
2006-11-09T04:43:20, Critical path event 26,72,5
2006-11-09T04:50:41, Critical path event 27,83,4
2006-11-09T04:54:24, Misc. noise event 3,36,4
2006-11-09T04:58:43, Critical path event 28,11,3
2006-11-09T05:08:13, Critical path event 29,69,3
2006-11-09T05:20:59, Critical path event 29,55,1
2006-11-09T05:39:19, Misc. noise event 4,30,0
2006-11-09T05:44:10, Critical path event 29,31,8
2006-11-09T05:51:45, Critical path event 29,73,9
2006-11-09T06:00:27, Critical path event 33,57,2
2006-11-09T06:06:01, Critical path event 34,35,5
2006-11-09T06:15:34, Critical path event 35,48,9
2006-11-09T06:26:48, Critical path event 36,5,6
2006-11-09T06:46:40, Misc. noise event 5,51,6
2006-11-09T06:50:13, Critical path event 37,10,6
2006-11-09T06:53:54, Misc. noise event 6,14,6
2006-11-09T06:56:25, Critical path event 38,83,6
2006-11-09T06:58:07, Misc. noise event 7,74,10
2006-11-09T07:02:50, Critical path event 39,29,5
2006-11-09T07:19:23, Misc. noise event 8,40,10
2006-11-09T07:21:11, Critical path event 19,49,5
2006-11-09T07:40:33, Misc. noise event 9,91,8
2006-11-09T07:41:07, Critical path event 19,32,5
2006-11-09T07:50:37, Critical path event 19,33,6
2006-11-09T07:57:34, Misc. noise event 10,72,9
2006-11-09T07:59:55, Critical path event 19,9,4
2006-11-09T08:31:38, Critical path event 44,91,1
