--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-07-05T00:00:00, Critical path event 1,72,0
2005-07-05T00:09:30, Critical path event 2,41,4
2005-07-05T00:14:22, Misc. noise event 0,76,2
2005-07-05T00:18:32, Critical path event 3,70,8
2005-07-05T00:26:44, Critical path event 4,98,6
2005-07-05T00:40:24, Critical path event 5,60,4
2005-07-05T00:48:35, Critical path event 6,48,7
2005-07-05T00:55:45, Misc. noise event 1,5,10
2005-07-05T00:57:02, Critical path event 7,81,4
2005-07-05T01:11:06, Critical path event 8,26,0
2005-07-05T01:18:01, Misc. noise event 2,8,9
2005-07-05T01:20:40, Critical path event 9,77,10
2005-07-05T01:24:34, Misc. noise event 3,100,5
2005-07-05T01:28:43, Critical path event 9,91,9
2005-07-05T01:37:36, Misc. noise event 4,87,5
2005-07-05T01:39:10, Critical path event 9,88,5
2005-07-05T01:50:16, Critical path event 9,5,5
2005-07-05T02:08:40, Misc. noise event 5,73,0
2005-07-05T02:11:33, Critical path event 13,87,4
2005-07-05T02:19:35, Critical path event 14,78,8
2005-07-05T02:27:39, Misc. noise event 6,30,9
2005-07-05T02:29:05, Critical path event 15,100,6
2005-07-05T02:38:07, Critical path event 16,92,9
2005-07-05T02:58:42, Critical path event 17,99,8
2005-07-05T03:30:53, Misc. noise event 7,46,7
2005-07-05T03:31:37, Critical path event 18,29,9
2005-07-05T03:39:48, Critical path event 19,17,7
2005-07-05T03:48:15, Critical path event 19,15,4
2005-07-05T03:53:47, Misc. noise event 8,83,1
2005-07-05T03:54:11, Critical path event 19,17,5
2005-07-05T04:03:45, Critical path event 19,32,6
2005-07-05T04:11:48, Critical path event 23,79,6
2005-07-05T04:22:15, Critical path event 24,60,10
2005-07-05T04:28:17, Critical path event 25,78,4
2005-07-05T04:49:26, Critical path event 26,94,1
2005-07-05T04:57:28, Critical path event 27,35,7
2005-07-05T05:06:58, Critical path event 28,52,4
2005-07-05T05:32:59, Misc. noise event 9,88,10
2005-07-05T05:33:15, Critical path event 29,96,3
2005-07-05T05:41:27, Critical path event 29,88,4
2005-07-05T05:55:07, Critical path event 29,72,7
2005-07-05T06:03:18, Critical path event 29,57,7
2005-07-05T06:11:45, Critical path event 33,66,8
2005-07-05T06:17:41, Critical path event 34,7,5
2005-07-05T06:27:15, Critical path event 35,80,5
2005-07-05T06:35:18, Critical path event 36,12,0
2005-07-05T06:43:48, Misc. noise event 10,100,8
2005-07-05T06:45:45, Critical path event 37,72,6
2005-07-05T06:51:47, Critical path event 38,79,7
2005-07-05T07:00:02, Critical path event 39,18,0
2005-07-05T07:08:04, Critical path event 19,69,8
2005-07-05T07:30:48, Critical path event 19,55,2
2005-07-05T07:39:50, Critical path event 19,9,4
2005-07-05T07:56:17, Critical path event 19,74,8
2005-07-05T08:09:57, Critical path event 44,6,10
