--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-08-27T00:00:00, Critical path event 1,0,2
2004-08-27T00:07:23, Critical path event 2,12,2
2004-08-27T00:16:08, Critical path event 3,76,0
2004-08-27T00:24:29, Critical path event 4,59,2
2004-08-27T00:39:37, Critical path event 5,27,5
2004-08-27T00:46:55, Critical path event 6,17,9
2004-08-27T00:54:57, Critical path event 7,96,9
2004-08-27T00:59:20, Critical path event 8,22,10
2004-08-27T01:06:22, Misc. noise event 0,14,6
2004-08-27T01:07:45, Critical path event 9,75,1
2004-08-27T01:16:51, Critical path event 9,51,0
2004-08-27T01:27:05, Critical path event 9,84,7
2004-08-27T01:33:06, Critical path event 9,34,2
2004-08-27T01:41:03, Misc. noise event 1,33,4
2004-08-27T01:41:27, Critical path event 13,53,0
2004-08-27T01:49:25, Critical path event 14,2,10
2004-08-27T01:56:48, Critical path event 15,24,3
2004-08-27T02:02:59, Misc. noise event 2,51,0
2004-08-27T02:05:33, Critical path event 16,38,1
2004-08-27T02:13:54, Critical path event 17,76,5
2004-08-27T02:29:02, Critical path event 18,39,9
2004-08-27T02:36:20, Critical path event 19,27,9
2004-08-27T02:41:42, Misc. noise event 3,81,9
2004-08-27T02:44:22, Critical path event 19,30,3
2004-08-27T02:48:45, Critical path event 19,94,4
2004-08-27T02:57:10, Critical path event 19,97,8
2004-08-27T03:04:25, Misc. noise event 4,31,4
2004-08-27T03:06:16, Critical path event 23,2,9
2004-08-27T03:16:30, Critical path event 24,44,9
2004-08-27T03:22:31, Critical path event 25,56,0
2004-08-27T03:27:31, Misc. noise event 5,46,10
2004-08-27T03:30:52, Critical path event 26,73,0
2004-08-27T03:38:50, Critical path event 27,1,4
2004-08-27T03:46:13, Critical path event 28,85,0
2004-08-27T03:54:58, Critical path event 29,41,9
2004-08-27T04:03:19, Critical path event 29,92,10
2004-08-27T04:18:27, Critical path event 29,45,1
2004-08-27T04:25:45, Critical path event 29,99,4
2004-08-27T04:33:47, Critical path event 33,45,10
2004-08-27T04:38:10, Critical path event 34,32,6
2004-08-27T04:44:54, Misc. noise event 6,33,6
2004-08-27T04:46:35, Critical path event 35,51,4
2004-08-27T04:55:41, Critical path event 36,90,7
2004-08-27T05:05:55, Critical path event 37,71,5
2004-08-27T05:09:41, Misc. noise event 7,57,5
2004-08-27T05:11:56, Critical path event 38,22,1
2004-08-27T05:20:17, Critical path event 39,32,0
2004-08-27T05:24:01, Misc. noise event 8,93,9
2004-08-27T05:28:15, Critical path event 19,20,0
2004-08-27T05:35:38, Critical path event 19,94,7
2004-08-27T05:43:46, Misc. noise event 9,72,3
2004-08-27T05:44:23, Critical path event 19,95,2
2004-08-27T05:50:47, Misc. noise event 10,39,0
2004-08-27T05:52:44, Critical path event 19,10,2
2004-08-27T06:07:52, Critical path event 44,54,6
