--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-02-03T00:00:00, Critical path event 1,51,5
2004-02-03T00:07:48, Critical path event 2,85,1
2004-02-03T00:15:18, Critical path event 3,4,1
2004-02-03T00:24:41, Critical path event 4,99,7
2004-02-03T00:40:16, Critical path event 5,36,6
2004-02-03T00:47:03, Misc. noise event 0,74,2
2004-02-03T00:49:24, Critical path event 6,92,6
2004-02-03T00:58:52, Critical path event 7,18,3
2004-02-03T01:02:54, Misc. noise event 1,33,0
2004-02-03T01:04:11, Critical path event 8,17,10
2004-02-03T01:12:21, Misc. noise event 2,33,9
2004-02-03T01:12:48, Critical path event 9,6,10
2004-02-03T01:22:15, Critical path event 9,10,7
2004-02-03T01:33:31, Critical path event 9,93,6
2004-02-03T01:41:26, Critical path event 9,98,1
2004-02-03T01:48:32, Critical path event 13,33,8
2004-02-03T01:56:00, Misc. noise event 3,61,8
2004-02-03T01:56:18, Critical path event 14,27,2
2004-02-03T02:04:06, Critical path event 15,25,10
2004-02-03T02:11:36, Critical path event 16,14,9
2004-02-03T02:20:59, Critical path event 17,77,10
2004-02-03T02:36:34, Critical path event 18,33,10
2004-02-03T02:45:42, Critical path event 19,76,10
2004-02-03T02:55:10, Critical path event 19,65,0
2004-02-03T03:00:29, Critical path event 19,17,10
2004-02-03T03:07:41, Misc. noise event 4,4,10
2004-02-03T03:09:06, Critical path event 19,31,8
2004-02-03T03:18:33, Critical path event 23,82,8
2004-02-03T03:29:49, Critical path event 24,45,2
2004-02-03T03:34:00, Misc. noise event 5,5,1
2004-02-03T03:37:44, Critical path event 25,30,1
2004-02-03T03:42:43, Misc. noise event 6,51,0
2004-02-03T03:44:50, Critical path event 26,87,4
2004-02-03T03:52:36, Critical path event 27,30,4
2004-02-03T03:57:13, Misc. noise event 7,31,3
2004-02-03T04:00:24, Critical path event 28,83,1
2004-02-03T04:07:54, Critical path event 29,80,0
2004-02-03T04:17:17, Critical path event 29,38,10
2004-02-03T04:32:52, Critical path event 29,44,7
2004-02-03T04:42:00, Critical path event 29,80,1
2004-02-03T04:51:28, Critical path event 33,71,5
2004-02-03T04:56:47, Critical path event 34,31,1
2004-02-03T05:05:24, Critical path event 35,66,6
2004-02-03T05:14:51, Critical path event 36,91,3
2004-02-03T05:26:05, Misc. noise event 8,74,3
2004-02-03T05:26:07, Critical path event 37,84,0
2004-02-03T05:34:02, Critical path event 38,100,6
2004-02-03T05:41:08, Critical path event 39,96,8
2004-02-03T05:48:54, Critical path event 19,8,6
2004-02-03T05:54:21, Misc. noise event 9,22,7
2004-02-03T05:56:42, Critical path event 19,74,7
2004-02-03T06:04:12, Critical path event 19,18,9
2004-02-03T06:09:04, Misc. noise event 10,53,7
2004-02-03T06:13:35, Critical path event 19,9,7
2004-02-03T06:29:10, Critical path event 44,61,0
