--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-07-19T00:00:00, Critical path event 1,13,9
2005-07-19T00:03:24, Misc. noise event 0,89,2
2005-07-19T00:08:13, Critical path event 2,77,3
2005-07-19T00:19:34, Critical path event 3,16,5
2005-07-19T00:28:14, Critical path event 4,24,2
2005-07-19T00:40:32, Misc. noise event 1,14,1
2005-07-19T00:41:54, Critical path event 5,27,3
2005-07-19T00:49:40, Critical path event 6,72,6
2005-07-19T00:58:56, Critical path event 7,51,8
2005-07-19T01:02:42, Critical path event 8,6,7
2005-07-19T01:10:11, Critical path event 9,26,4
2005-07-19T01:17:53, Critical path event 9,3,5
2005-07-19T01:36:34, Critical path event 9,1,3
2005-07-19T01:42:36, Critical path event 9,31,7
2005-07-19T01:56:20, Misc. noise event 2,17,5
2005-07-19T01:57:11, Critical path event 13,33,3
2005-07-19T02:04:45, Critical path event 14,67,10
2005-07-19T02:08:18, Misc. noise event 3,18,7
2005-07-19T02:12:58, Critical path event 15,25,8
2005-07-19T02:22:23, Critical path event 16,79,2
2005-07-19T02:36:45, Critical path event 17,88,0
2005-07-19T02:49:08, Misc. noise event 4,23,9
2005-07-19T02:50:25, Critical path event 18,56,10
2005-07-19T02:58:11, Critical path event 19,50,4
2005-07-19T03:07:21, Critical path event 19,69,5
2005-07-19T03:13:19, Critical path event 19,54,1
2005-07-19T03:20:48, Critical path event 19,95,8
2005-07-19T03:27:37, Misc. noise event 5,59,3
2005-07-19T03:28:30, Critical path event 23,82,4
2005-07-19T03:40:11, Critical path event 24,73,2
2005-07-19T03:50:41, Critical path event 25,86,7
2005-07-19T03:54:26, Misc. noise event 6,52,2
2005-07-19T03:58:14, Critical path event 26,52,3
2005-07-19T04:05:48, Critical path event 27,57,8
2005-07-19T04:14:01, Critical path event 28,90,9
2005-07-19T04:23:26, Critical path event 29,87,10
2005-07-19T04:37:01, Critical path event 29,59,2
2005-07-19T04:50:41, Critical path event 29,7,6
2005-07-19T04:58:27, Critical path event 29,29,0
2005-07-19T05:07:37, Critical path event 33,38,7
2005-07-19T05:13:03, Misc. noise event 7,45,9
2005-07-19T05:17:47, Critical path event 34,47,0
2005-07-19T05:32:56, Misc. noise event 8,30,4
2005-07-19T05:35:30, Critical path event 35,85,1
2005-07-19T05:39:15, Misc. noise event 9,22,9
2005-07-19T05:43:12, Critical path event 36,58,8
2005-07-19T05:54:53, Critical path event 37,69,5
2005-07-19T06:06:45, Critical path event 38,38,1
2005-07-19T06:23:24, Critical path event 39,35,9
2005-07-19T06:30:14, Misc. noise event 10,39,10
2005-07-19T06:30:58, Critical path event 19,83,0
2005-07-19T06:44:20, Critical path event 19,45,7
2005-07-19T06:53:45, Critical path event 19,14,5
2005-07-19T07:02:25, Critical path event 19,0,1
2005-07-19T07:16:05, Critical path event 44,7,3
