--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-01-02T00:00:00, Critical path event 1,56,3
2005-01-02T00:13:01, Critical path event 2,41,0
2005-01-02T00:20:42, Critical path event 3,33,2
2005-01-02T00:28:37, Critical path event 4,37,3
2005-01-02T00:59:12, Misc. noise event 0,42,6
2005-01-02T01:03:00, Critical path event 5,95,7
2005-01-02T01:10:30, Critical path event 6,93,4
2005-01-02T01:24:55, Critical path event 7,44,3
2005-01-02T01:28:03, Critical path event 8,6,10
2005-01-02T01:30:14, Misc. noise event 1,7,6
2005-01-02T01:34:24, Critical path event 9,58,1
2005-01-02T01:41:21, Critical path event 9,29,3
2005-01-02T01:50:20, Critical path event 9,61,10
2005-01-02T01:55:55, Misc. noise event 2,32,4
2005-01-02T01:57:08, Critical path event 9,65,3
2005-01-02T02:02:23, Misc. noise event 3,10,5
2005-01-02T02:03:22, Critical path event 13,99,10
2005-01-02T02:24:44, Critical path event 14,78,8
2005-01-02T02:31:30, Critical path event 15,14,6
2005-01-02T02:36:38, Misc. noise event 4,95,2
2005-01-02T02:39:11, Critical path event 16,93,4
2005-01-02T02:47:39, Misc. noise event 5,47,9
2005-01-02T02:47:50, Critical path event 17,44,5
2005-01-02T03:00:09, Critical path event 18,98,6
2005-01-02T03:07:39, Critical path event 19,99,6
2005-01-02T03:13:04, Misc. noise event 6,66,0
2005-01-02T03:13:43, Critical path event 19,72,7
2005-01-02T03:16:51, Critical path event 19,71,0
2005-01-02T03:23:12, Critical path event 19,16,0
2005-01-02T03:38:14, Critical path event 23,30,0
2005-01-02T03:57:32, Critical path event 24,81,4
2005-01-02T04:08:39, Critical path event 25,29,3
2005-01-02T04:21:40, Critical path event 26,3,9
2005-01-02T04:31:52, Misc. noise event 7,11,6
2005-01-02T04:31:54, Critical path event 27,37,9
2005-01-02T04:48:06, Critical path event 28,78,9
2005-01-02T04:55:47, Critical path event 29,94,9
2005-01-02T05:18:24, Critical path event 29,63,6
2005-01-02T05:30:43, Critical path event 29,22,2
2005-01-02T05:38:13, Critical path event 29,6,9
2005-01-02T05:44:17, Critical path event 33,88,2
2005-01-02T05:47:25, Critical path event 34,51,5
2005-01-02T05:53:46, Critical path event 35,47,10
2005-01-02T06:08:13, Misc. noise event 8,37,2
2005-01-02T06:12:56, Critical path event 36,76,6
2005-01-02T06:21:55, Critical path event 37,0,1
2005-01-02T06:41:30, Critical path event 38,51,7
2005-01-02T06:47:44, Critical path event 39,82,5
2005-01-02T06:55:39, Critical path event 19,57,0
2005-01-02T07:02:25, Critical path event 19,21,4
2005-01-02T07:10:06, Critical path event 19,74,1
2005-01-02T07:16:47, Misc. noise event 9,92,8
2005-01-02T07:18:01, Critical path event 19,16,6
2005-01-02T07:29:06, Misc. noise event 10,75,8
2005-01-02T07:30:20, Critical path event 44,70,10
