--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-11-08T00:00, Critical path event 1,1,6
2005-11-08T00:07:50, Critical path event 2,92,5
2005-11-08T00:13:32, Misc. noise event 0,38,6
2005-11-08T00:15:33, Critical path event 3,53,6
2005-11-08T00:25:04, Critical path event 4,99,8
2005-11-08T00:38:36, Misc. noise event 1,8,5
2005-11-08T00:38:48, Critical path event 5,71,7
2005-11-08T00:48:19, Critical path event 6,77,9
2005-11-08T00:55:49, Critical path event 7,29,0
2005-11-08T01:01:11, Critical path event 8,10,3
2005-11-08T01:07:39, Misc. noise event 2,18,0
2005-11-08T01:10:38, Critical path event 9,46,7
2005-11-08T01:18:15, Critical path event 9,5,5
2005-11-08T01:28:21, Critical path event 9,69,2
2005-11-08T01:34:32, Critical path event 9,26,5
2005-11-08T01:38:21, Misc. noise event 3,90,7
2005-11-08T01:42:09, Critical path event 13,0,7
2005-11-08T01:51:38, Critical path event 14,53,0
2005-11-08T01:59:28, Critical path event 15,52,8
2005-11-08T02:07:11, Critical path event 16,70,7
2005-11-08T02:16:42, Critical path event 17,87,5
2005-11-08T02:30:26, Critical path event 18,8,10
2005-11-08T02:37:38, Misc. noise event 4,71,2
2005-11-08T02:39:57, Critical path event 19,73,3
2005-11-08T02:46:32, Misc. noise event 5,11,0
2005-11-08T02:47:27, Critical path event 19,99,2
2005-11-08T02:52:49, Critical path event 19,89,7
2005-11-08T03:00:04, Misc. noise event 6,28,10
2005-11-08T03:02:16, Critical path event 19,85,9
2005-11-08T03:09:53, Critical path event 23,6,5
2005-11-08T03:19:59, Critical path event 24,30,10
2005-11-08T03:26:10, Critical path event 25,77,9
2005-11-08T03:33:47, Critical path event 26,96,4
2005-11-08T03:43:16, Critical path event 27,46,2
2005-11-08T03:50:02, Misc. noise event 7,8,2
2005-11-08T03:51:06, Critical path event 28,19,8
2005-11-08T03:58:49, Critical path event 29,61,8
2005-11-08T04:08:20, Critical path event 29,45,6
2005-11-08T04:22:04, Critical path event 29,91,2
2005-11-08T04:31:35, Critical path event 29,19,3
2005-11-08T04:37:23, Misc. noise event 8,53,4
2005-11-08T04:39:05, Critical path event 33,15,4
2005-11-08T04:44:27, Critical path event 34,61,10
2005-11-08T04:53:54, Critical path event 35,75,1
2005-11-08T05:01:31, Critical path event 36,81,10
2005-11-08T05:06:44, Misc. noise event 9,69,0
2005-11-08T05:11:37, Critical path event 37,83,7
2005-11-08T05:17:48, Critical path event 38,31,6
2005-11-08T05:25:25, Critical path event 39,57,9
2005-11-08T05:34:54, Critical path event 19,41,9
2005-11-08T05:42:44, Critical path event 19,78,10
2005-11-08T05:49:09, Misc. noise event 10,92,4
2005-11-08T05:50:27, Critical path event 19,19,2
2005-11-08T05:59:58, Critical path event 19,43,9
2005-11-08T06:13:42, Critical path event 44,85,5
