--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-06-01T00:00, Critical path event 1,100,7
2004-06-01T00:08:26, Critical path event 2,74,2
2004-06-01T00:16:27, Critical path event 3,20,5
2004-06-01T00:21:03, Misc. noise event 0,18,7
2004-06-01T00:23:41, Critical path event 4,54,3
2004-06-01T00:37:37, Critical path event 5,26,3
2004-06-01T00:47:11, Critical path event 6,1,0
2004-06-01T00:54:28, Misc. noise event 1,44,3
2004-06-01T00:54:28, Critical path event 7,76,5
2004-06-01T00:59:25, Critical path event 8,18,3
2004-06-01T01:08:22, Critical path event 9,27,10
2004-06-01T01:16:21, Critical path event 9,68,4
2004-06-01T01:25:30, Misc. noise event 2,91,2
2004-06-01T01:26:06, Critical path event 9,30,7
2004-06-01T01:33:44, Critical path event 9,29,4
2004-06-01T01:40:37, Critical path event 13,7,4
2004-06-01T01:48:39, Critical path event 14,63,3
2004-06-01T01:57:05, Critical path event 15,17,0
2004-06-01T02:05:06, Critical path event 16,60,1
2004-06-01T02:12:20, Critical path event 17,86,3
2004-06-01T02:26:16, Critical path event 18,85,8
2004-06-01T02:35:50, Critical path event 19,24,3
2004-06-01T02:43:07, Critical path event 19,82,8
2004-06-01T02:48:04, Critical path event 19,72,7
2004-06-01T02:57:01, Critical path event 19,31,5
2004-06-01T03:01:56, Misc. noise event 3,82,4
2004-06-01T03:05:00, Critical path event 23,22,7
2004-06-01T03:14:45, Critical path event 24,61,3
2004-06-01T03:17:24, Misc. noise event 4,78,9
2004-06-01T03:22:23, Critical path event 25,3,7
2004-06-01T03:29:16, Critical path event 26,75,10
2004-06-01T03:34:44, Misc. noise event 5,49,2
2004-06-01T03:37:18, Critical path event 27,15,0
2004-06-01T03:45:44, Critical path event 28,84,7
2004-06-01T03:51:16, Misc. noise event 6,56,10
2004-06-01T03:53:45, Critical path event 29,10,1
2004-06-01T03:59:18, Misc. noise event 7,51,2
2004-06-01T04:00:59, Critical path event 29,81,7
2004-06-01T04:10:25, Misc. noise event 8,25,3
2004-06-01T04:14:55, Critical path event 29,4,1
2004-06-01T04:24:29, Critical path event 29,74,10
2004-06-01T04:31:46, Critical path event 33,88,8
2004-06-01T04:36:43, Critical path event 34,48,1
2004-06-01T04:45:40, Critical path event 35,99,10
2004-06-01T04:49:02, Misc. noise event 9,35,5
2004-06-01T04:53:39, Critical path event 36,81,5
2004-06-01T05:03:24, Critical path event 37,33,2
2004-06-01T05:11:02, Critical path event 38,82,3
2004-06-01T05:17:55, Critical path event 39,79,9
2004-06-01T05:24:58, Misc. noise event 10,66,8
2004-06-01T05:25:57, Critical path event 19,73,6
2004-06-01T05:34:23, Critical path event 19,5,3
2004-06-01T05:42:24, Critical path event 19,16,10
2004-06-01T05:49:38, Critical path event 19,24,6
2004-06-01T06:03:34, Critical path event 44,76,6
