--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-02-24T23:56:23, Misc. noise event 0,64,7
2004-02-25T00:00, Critical path event 1,79,9
2004-02-25T00:07:59, Critical path event 2,61,7
2004-02-25T00:15:12, Misc. noise event 1,73,9
2004-02-25T00:15:33, Critical path event 3,62,6
2004-02-25T00:24:54, Critical path event 4,65,6
2004-02-25T00:39:30, Critical path event 5,58,6
2004-02-25T00:47:51, Critical path event 6,27,2
2004-02-25T00:56:23, Critical path event 7,32,6
2004-02-25T01:02:14, Critical path event 8,76,4
2004-02-25T01:11:27, Critical path event 9,35,6
2004-02-25T01:20:59, Critical path event 9,21,10
2004-02-25T01:32:21, Critical path event 9,84,2
2004-02-25T01:38:48, Critical path event 9,80,10
2004-02-25T01:40:31, Misc. noise event 2,34,1
2004-02-25T01:44:55, Critical path event 13,75,5
2004-02-25T01:53:24, Critical path event 14,44,3
2004-02-25T02:01:23, Critical path event 15,86,6
2004-02-25T02:08:57, Critical path event 16,12,1
2004-02-25T02:13:49, Misc. noise event 3,97,8
2004-02-25T02:18:18, Critical path event 17,6,5
2004-02-25T02:32:54, Critical path event 18,75,3
2004-02-25T02:41:15, Critical path event 19,13,7
2004-02-25T02:48:51, Misc. noise event 4,19,10
2004-02-25T02:49:47, Critical path event 19,65,10
2004-02-25T02:55:38, Critical path event 19,69,8
2004-02-25T03:04:51, Critical path event 19,50,10
2004-02-25T03:10:49, Misc. noise event 5,54,2
2004-02-25T03:14:23, Critical path event 23,28,1
2004-02-25T03:24:50, Misc. noise event 6,83,0
2004-02-25T03:25:45, Critical path event 24,69,3
2004-02-25T03:32:12, Critical path event 25,23,9
2004-02-25T03:38:19, Critical path event 26,42,4
2004-02-25T03:42:14, Misc. noise event 7,13,4
2004-02-25T03:46:48, Critical path event 27,87,6
2004-02-25T03:54:47, Critical path event 28,91,3
2004-02-25T04:02:21, Critical path event 29,100,4
2004-02-25T04:11:42, Critical path event 29,5,6
2004-02-25T04:22:41, Misc. noise event 8,26,5
2004-02-25T04:26:18, Critical path event 29,93,9
2004-02-25T04:34:39, Critical path event 29,19,4
2004-02-25T04:43:11, Critical path event 33,85,4
2004-02-25T04:49:02, Critical path event 34,19,9
2004-02-25T04:58:15, Critical path event 35,22,0
2004-02-25T05:07:47, Critical path event 36,4,5
2004-02-25T05:19:09, Critical path event 37,18,3
2004-02-25T05:22:04, Misc. noise event 9,30,1
2004-02-25T05:25:36, Critical path event 38,28,7
2004-02-25T05:29:20, Misc. noise event 10,21,2
2004-02-25T05:31:43, Critical path event 39,90,5
2004-02-25T05:40:12, Critical path event 19,97,0
2004-02-25T05:48:11, Critical path event 19,83,1
2004-02-25T05:55:45, Critical path event 19,3,5
2004-02-25T06:05:06, Critical path event 19,80,5
2004-02-25T06:19:42, Critical path event 44,23,6
