--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-06-26T00:00, Critical path event 1,85,1
2005-06-26T00:07:52, Critical path event 2,2,0
2005-06-26T00:18:22, Critical path event 3,18,8
2005-06-26T00:25:00, Critical path event 4,33,9
2005-06-26T00:36:15, Critical path event 5,59,2
2005-06-26T00:43:21, Critical path event 6,11,10
2005-06-26T00:51:47, Critical path event 7,64,0
2005-06-26T00:51:18, Misc. noise event 0,26,1
2005-06-26T00:55:46, Critical path event 8,38,3
2005-06-26T01:02:28, Critical path event 9,50,1
2005-06-26T01:09:19, Critical path event 9,72,8
2005-06-26T01:31:45, Critical path event 9,41,6
2005-06-26T01:38:17, Critical path event 9,81,9
2005-06-26T01:43:44, Critical path event 13,95,1
2005-06-26T01:49:45, Critical path event 14,80,8
2005-06-26T01:54:51, Misc. noise event 1,11,2
2005-06-26T01:57:37, Critical path event 15,13,7
2005-06-26T02:05:25, Critical path event 16,30,10
2005-06-26T02:12:03, Critical path event 17,75,1
2005-06-26T02:23:18, Critical path event 18,57,0
2005-06-26T02:30:24, Critical path event 19,48,6
2005-06-26T02:38:11, Critical path event 19,4,7
2005-06-26T02:42:10, Critical path event 19,63,9
2005-06-26T02:48:52, Critical path event 19,48,9
2005-06-26T02:55:43, Critical path event 23,79,7
2005-06-26T03:19:54, Critical path event 24,25,6
2005-06-26T03:21:49, Misc. noise event 2,56,1
2005-06-26T03:26:26, Critical path event 25,9,8
2005-06-26T03:31:53, Critical path event 26,3,9
2005-06-26T03:37:33, Misc. noise event 3,69,6
2005-06-26T03:37:54, Critical path event 27,62,4
2005-06-26T03:45:46, Critical path event 28,97,0
2005-06-26T03:52:55, Misc. noise event 4,22,0
2005-06-26T03:53:34, Critical path event 29,85,7
2005-06-26T04:03:45, Misc. noise event 5,23,7
2005-06-26T04:06:29, Critical path event 29,34,1
2005-06-26T04:16:43, Misc. noise event 6,36,1
2005-06-26T04:17:44, Critical path event 29,17,10
2005-06-26T04:24:50, Critical path event 29,63,10
2005-06-26T04:30:12, Misc. noise event 7,45,4
2005-06-26T04:32:37, Critical path event 33,99,0
2005-06-26T04:36:36, Critical path event 34,13,9
2005-06-26T04:45:32, Critical path event 35,69,8
2005-06-26T04:52:23, Critical path event 36,95,10
2005-06-26T05:11:43, Misc. noise event 8,32,5
2005-06-26T05:12:16, Critical path event 37,58,6
2005-06-26T05:18:48, Critical path event 38,13,1
2005-06-26T05:21:29, Misc. noise event 9,41,7
2005-06-26T05:24:15, Critical path event 39,94,0
2005-06-26T05:33:38, Critical path event 19,45,10
2005-06-26T05:41:30, Critical path event 19,82,9
2005-06-26T05:49:18, Critical path event 19,8,8
2005-06-26T05:55:56, Critical path event 19,93,5
2005-06-26T06:03:31, Misc. noise event 10,45,2
2005-06-26T06:07:21, Critical path event 44,22,8
