--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-01-17T00:00, Critical path event 1,64,5
2004-01-17T00:06:18, Critical path event 2,42,1
2004-01-17T00:11:06, Misc. noise event 0,45,0
2004-01-17T00:12:22, Critical path event 3,58,7
2004-01-17T00:19:40, Critical path event 4,31,4
2004-01-17T00:27:42, Misc. noise event 1,14,7
2004-01-17T00:31:08, Critical path event 5,57,6
2004-01-17T00:36:12, Misc. noise event 2,40,8
2004-01-17T00:37:46, Critical path event 6,65,2
2004-01-17T00:44:05, Critical path event 7,62,1
2004-01-17T00:48:09, Critical path event 8,58,5
2004-01-17T01:11:46, Critical path event 9,48,5
2004-01-17T01:26:46, Critical path event 9,17,1
2004-01-17T01:44:15, Critical path event 9,11,7
2004-01-17T02:04:27, Critical path event 9,61,1
2004-01-17T02:10:16, Critical path event 13,16,1
2004-01-17T02:16:21, Critical path event 14,60,6
2004-01-17T02:28:54, Critical path event 15,32,4
2004-01-17T02:30:46, Misc. noise event 3,91,6
2004-01-17T02:34:58, Critical path event 16,90,7
2004-01-17T02:40:43, Misc. noise event 4,22,1
2004-01-17T02:42:16, Critical path event 17,12,6
2004-01-17T03:08:08, Critical path event 18,71,5
2004-01-17T03:14:46, Critical path event 19,30,5
2004-01-17T03:21:05, Critical path event 19,27,8
2004-01-17T03:21:03, Misc. noise event 5,11,5
2004-01-17T03:25:09, Critical path event 19,31,10
2004-01-17T03:33:03, Critical path event 19,10,3
2004-01-17T03:48:28, Critical path event 23,71,3
2004-01-17T03:55:57, Misc. noise event 6,97,8
2004-01-17T03:58:01, Critical path event 24,11,2
2004-01-17T04:04:56, Critical path event 25,66,7
2004-01-17T04:10:45, Critical path event 26,85,10
2004-01-17T04:16:50, Critical path event 27,66,5
2004-01-17T04:23:08, Critical path event 28,31,0
2004-01-17T04:36:36, Critical path event 29,86,2
2004-01-17T04:43:35, Misc. noise event 7,68,10
2004-01-17T04:43:54, Critical path event 29,22,9
2004-01-17T04:51:15, Misc. noise event 8,80,6
2004-01-17T04:55:22, Critical path event 29,25,8
2004-01-17T05:03:16, Critical path event 29,70,7
2004-01-17T05:15:33, Critical path event 33,17,5
2004-01-17T05:19:37, Critical path event 34,59,2
2004-01-17T05:27:31, Critical path event 35,8,9
2004-01-17T05:31:15, Misc. noise event 9,37,10
2004-01-17T05:33:40, Critical path event 36,91,6
2004-01-17T05:44:41, Misc. noise event 10,25,0
2004-01-17T05:49:20, Critical path event 37,2,9
2004-01-17T05:56:15, Critical path event 38,11,1
2004-01-17T06:02:04, Critical path event 39,46,8
2004-01-17T06:08:17, Critical path event 19,12,9
2004-01-17T06:14:35, Critical path event 19,81,7
2004-01-17T06:20:39, Critical path event 19,32,8
2004-01-17T06:27:57, Critical path event 19,11,7
2004-01-17T06:39:25, Critical path event 44,18,2
