--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2005-09-23T23:58:47, Misc. noise event 0,34,3
2005-09-24T00:00, Critical path event 1,10,6
2005-09-24T00:07:02, Critical path event 2,70,3
2005-09-24T00:18:03, Critical path event 3,52,9
2005-09-24T00:26:01, Critical path event 4,48,3
2005-09-24T00:38:19, Critical path event 5,3,7
2005-09-24T00:41:17, Misc. noise event 1,31,6
2005-09-24T00:45:37, Critical path event 6,4,8
2005-09-24T00:51:59, Critical path event 7,74,6
2005-09-24T00:56:01, Critical path event 8,40,8
2005-09-24T01:08:46, Critical path event 9,9,0
2005-09-24T01:16:08, Critical path event 9,51,1
2005-09-24T01:24:34, Critical path event 9,27,5
2005-09-24T01:30:24, Critical path event 9,94,7
2005-09-24T01:35:59, Critical path event 13,19,6
2005-09-24T01:41:01, Misc. noise event 2,4,5
2005-09-24T01:42:51, Critical path event 14,37,2
2005-09-24T01:49:53, Critical path event 15,0,0
2005-09-24T01:56:43, Critical path event 16,83,10
2005-09-24T02:14:42, Misc. noise event 3,81,1
2005-09-24T02:17:37, Critical path event 17,68,10
2005-09-24T02:29:55, Critical path event 18,32,10
2005-09-24T02:37:13, Critical path event 19,62,8
2005-09-24T02:43:35, Critical path event 19,54,4
2005-09-24T02:47:37, Critical path event 19,95,2
2005-09-24T03:03:31, Critical path event 19,92,7
2005-09-24T03:10:53, Critical path event 23,85,3
2005-09-24T03:19:19, Critical path event 24,59,2
2005-09-24T03:25:09, Critical path event 25,81,5
2005-09-24T03:29:54, Misc. noise event 4,19,0
2005-09-24T03:30:44, Critical path event 26,49,3
2005-09-24T03:42:28, Critical path event 27,20,1
2005-09-24T03:49:30, Critical path event 28,30,6
2005-09-24T03:56:20, Critical path event 29,3,10
2005-09-24T04:04:18, Critical path event 29,10,3
2005-09-24T04:16:36, Critical path event 29,23,2
2005-09-24T04:31:03, Misc. noise event 5,49,8
2005-09-24T04:31:21, Critical path event 29,36,9
2005-09-24T04:37:43, Critical path event 33,79,1
2005-09-24T04:42:33, Critical path event 34,69,5
2005-09-24T04:48:57, Critical path event 35,16,5
2005-09-24T04:56:19, Critical path event 36,21,4
2005-09-24T05:03:10, Misc. noise event 6,97,10
2005-09-24T05:04:45, Critical path event 37,89,5
2005-09-24T05:11:08, Misc. noise event 7,72,10
2005-09-24T05:14:19, Critical path event 38,28,9
2005-09-24T05:18:59, Misc. noise event 8,85,5
2005-09-24T05:19:54, Critical path event 39,78,6
2005-09-24T05:26:43, Misc. noise event 9,48,2
2005-09-24T05:26:46, Critical path event 19,10,10
2005-09-24T05:33:48, Critical path event 19,75,1
2005-09-24T05:36:33, Misc. noise event 10,9,6
2005-09-24T05:40:38, Critical path event 19,20,6
2005-09-24T05:48:36, Critical path event 19,67,8
2005-09-24T06:13:34, Critical path event 44,27,5
